LineId,Time,Program,Content,EventId,EventTemplate,ParameterList
1,07.27 09:10:12,YodaoDict.exe,"cidian.youdao.com:80 close, 627 bytes sent, 277 bytes received, lifetime 10:01",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['cidian.youdao.com:80', '627', '277', '10:01']"
2,07.27 09:10:31,chrome.exe *64,"clients4.google.com:443 close, 9407 bytes (9.18 KB) sent, 10883 bytes (10.6 KB) received, lifetime 37:06",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['clients4.google.com:443', '9407', '9.18 KB', '10883', '(10.6 KB', '37:06']"
3,07.27 09:10:41,SGTool.exe,info.pinyin.sogou.com:80 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['info.pinyin.sogou.com:80', 'proxy.cse.cuhk.edu.hk:5070']"
4,07.27 09:11:11,SGTool.exe,"info.pinyin.sogou.com:80 close, 559 bytes sent, 166 bytes received, lifetime 00:30",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['info.pinyin.sogou.com:80', '559', '166', '00:30']"
5,07.27 09:14:06,Dropbox.exe,client-cf.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['client-cf.dropbox.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
6,07.27 09:15:07,Dropbox.exe,"client-cf.dropbox.com:443 close, 5129 bytes (5.00 KB) sent, 17056 bytes (16.6 KB) received, lifetime 01:01",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['client-cf.dropbox.com:443', '5129', '5.00 KB', '17056', '(16.6 KB', '01:01']"
7,07.27 09:15:23,chrome.exe *64,www.evernote.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['www.evernote.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
8,07.27 09:15:23,chrome.exe *64,www.evernote.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['www.evernote.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
9,07.27 09:15:26,chrome.exe *64,"clients6.google.com:443 close, 35029 bytes (34.2 KB) sent, 21188 bytes (20.6 KB) received, lifetime 24:06",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['clients6.google.com:443', '35029', '34.2 KB', '21188', '(20.6 KB', '24:06']"
10,07.27 09:15:26,chrome.exe *64,clients6.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['clients6.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
11,07.27 09:15:26,chrome.exe *64,clients6.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['clients6.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
12,07.27 09:15:33,chrome.exe *64,"www.evernote.com:443 close, 0 bytes sent, 0 bytes received, lifetime 00:10",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['www.evernote.com:443', '0', '0', '00:10']"
13,07.27 09:15:36,Dropbox.exe,client-lb.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['client-lb.dropbox.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
14,07.27 09:15:36,Dropbox.exe,"client-lb.dropbox.com:443 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['client-lb.dropbox.com:443', '0', '0', '<1 sec']"
15,07.27 09:15:36,Dropbox.exe,block.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['block.dropbox.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
16,07.27 09:15:36,Dropbox.exe,"block.dropbox.com:443 close, 0 bytes sent, 0 bytes received, lifetime <1 sec",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['block.dropbox.com:443', '0', '0', '<1 sec']"
17,07.27 09:16:27,chrome.exe *64,play.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['play.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
18,07.27 09:19:23,chrome.exe *64,"www.evernote.com:443 close, 2214 bytes (2.16 KB) sent, 5427 bytes (5.29 KB) received, lifetime 04:00",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['www.evernote.com:443', '2214', '2.16 KB', '5427', '(5.29 KB', '04:00']"
19,07.27 09:19:42,Dropbox.exe,d.dropbox.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['d.dropbox.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
20,07.27 09:20:43,Dropbox.exe,"d.dropbox.com:443 close, 1789 bytes (1.74 KB) sent, 4964 bytes (4.84 KB) received, lifetime 01:01",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['d.dropbox.com:443', '1789', '1.74 KB', '4964', '(4.84 KB', '01:01']"
21,07.27 09:21:05,chrome.exe *64,"clients6.google.com:443 close, 2867 bytes (2.79 KB) sent, 1014 bytes received, lifetime 05:39",3ced113c,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes received, lifetime <*>","['clients6.google.com:443', '2867', '2.79 KB', '1014', '05:39']"
22,07.27 09:22:25,chrome.exe *64,16.client-channel.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['16.client-channel.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
23,07.27 09:22:31,chrome.exe *64,"play.google.com:443 close, 3655 bytes (3.56 KB) sent, 5918 bytes (5.77 KB) received, lifetime 06:04",0dc9f004,"<*> close, <*> bytes (<*> <*>) sent, <*> bytes <*> <*>) received, lifetime <*>","['play.google.com:443', '3655', '3.56 KB', '5918', '(5.77 KB', '06:04']"
24,07.27 09:24:15,chrome.exe *64,"mtalk.google.com:443 close, 985 bytes sent, 463 bytes received, lifetime 15:00",dff2fdce,"<*> close, <*> bytes sent, <*> bytes received, lifetime <*>","['mtalk.google.com:443', '985', '463', '15:00']"
25,07.27 09:24:15,chrome.exe *64,"mtalk.google.com:5228 error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy server cannot establish a connection with the target, status code 403",2b71c77d,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>","['mtalk.google.com:5228', 'proxy.cse.cuhk.edu.hk:5070', '403']"
26,07.27 09:24:16,chrome.exe *64,"mtalk.google.com:5228 error : Could not connect through proxy proxy.cse.cuhk.edu.hk:5070 - Proxy server cannot establish a connection with the target, status code 403",2b71c77d,"<*> error : Could not connect through proxy <*> - Proxy server cannot establish a connection with the target, status code <*>","['mtalk.google.com:5228', 'proxy.cse.cuhk.edu.hk:5070', '403']"
27,07.27 09:24:42,chrome.exe *64,mtalk.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['mtalk.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
28,07.27 09:25:17,chrome.exe *64,clients4.google.com:443 open through proxy proxy.cse.cuhk.edu.hk:5070 HTTPS,56ab45ba,<*> open through proxy <*> HTTPS,"['clients4.google.com:443', 'proxy.cse.cuhk.edu.hk:5070']"
